0123456789,2019,7,22023946.12,38733310.35,20462301.92,9266888.84,17332422.43,43097207.78,30790283813.62,36609114074.01,388580968.50,1696444602.32,1319565193.19,1303543935.50,1030362384.54,1616888417.31,1415875360.26,1504740171.82,1547595984.40,1402223902.95,1346544262.22,1151709963.02,1774006352.09,948999283.43,1531117192.03,1176891835.38,1781719323.08
6051206979,2019,7,31232198.05,24526351.24,25214540.54,50893622.34,25996946.03,40182950.26,27052595549.95,36473784779.85,2051791422.14,1214012424.01,1114180563.21,1252969943.26,1753632111.03,912174028.31,1415657125.84,983403555.66,1697858964.12,1173629097.59,1593323804.85,1622607206.55,1182507196.51,1627610413.06,959029030.89,1358046497.43,1174697982.35
2449764139,2019,7,54544668.32,17791109.70,20032451.90,54244609.42,49357176.56,47322754.38,28138316065.78,36331065505.51,2221208072.34,1538861976.53,1211778687.37,1731614289.41,1516232985.41,1647961746.93,1439266479.59,1734786241.76,1671496441.49,1617854924.76,1264776911.75,927919856.56,1011598019.79,946532464.46,1584522430.15,1621642365.49,1600797339.57
1030718999,2019,7,53089489.31,13653935.93,45949676.89,48582883.63,34354356.73,54907009.72,28506665120.23,36472941629.62,784259764.58,1633877572.38,1587329137.99,1309214035.92,1611766276.57,1061009780.55,1493162473.23,1440485243.27,1199548958.90,1632509045.05,1626443010.83,1600146731.34,903799532.91,1753585429.85,942859754.74,1483566833.06,1450701713.22
7430287259,2019,7,44446582.39,23485848.15,34205937.69,42564526.82,40906316.78,10770657.32,29369337702.81,36810505632.39,2703544018.36,1646016154.45,1610735242.57,1719391482.65,1083608633.75,1077632303.67,1015347926.28,1022741905.38,1219408010.02,1010743180.17,1359356490.85,1242892241.57,1298839864.37,1031431099.02,1427740824.07,1231635651.47,1413264113.78
7430120299,2019,7,37929726.14,52962264.92,23530411.72,40270300.51,11536495.80,54657498.22,30549291326.18,36728356220.07,1347813251.42,1703540662.45,1081673947.84,1573641439.85,1184623162.32,1742784257.99,1112792945.45,1487022823.19,1335776769.78,1297881286.32,1695529373.24,995019860.46,1434031220.87,-1664320118.14,1454027969.80,1557532035.87,1560410446.25
71530004X9,2019,7,34897930.88,39710277.42,20223300.48,29095801.30,14263003.52,25355973.36,29968315370.07,36136757852.04,527082097.93,1772845513.54,1308749407.99,1636701117.66,1184996512.57,1312268220.76,1498712730.60,1594077771.64,1352942575.10,1202898426.35,1482287423.56,963581213.72,1518915308.91,-963735126.16,918973418.59,900350568.74,1347350549.75
1244832780,2019,7,27892089.89,28344839.91,22518419.35,51058826.14,19143680.79,48498605.64,27092227840.49,36081271969.81,1892854731.73,1602151734.55,1055378356.87,1589271066.43,900899543.85,1059756971.99,1516546729.70,1630960842.35,1100001322.67,1170129915.41,995155509.23,1232971400.05,1061102654.04,1197304268.64,964481371.19,993523527.78,921275797.44
7765904829,2019,7,37043813.74,10778147.04,31917629.58,28505526.57,51322184.43,52101001.96,30522764760.85,36154656779.18,1647529852.34,996466495.45,1625094085.52,919920426.89,1616907690.98,1369047222.10,1055226826.52,1709535186.77,1287409022.39,1619423020.30,1066997167.92,1586446215.50,1611014574.69,1197831164.85,1248576305.30,1596562975.44,968066034.57
7025003680,2019,7,15941274.44,25071352.72,10918441.73,50414186.47,13693173.53,18985179.66,28085608018.54,36726419681.67,1229605231.99,1463153080.27,1747513970.43,1437947302.56,1369406416.92,1100364447.89,1785654873.94,964515571.86,1642359166.80,1616665988.04,1248781829.82,1395718704.17,1485600447.85,1600203320.70,1311532440.92,1307453252.53,1705079763.45
42851028X0,2019,7,35760519.95,30340964.51,52845413.42,48734219.68,54450238.79,50060632.67,27350567140.21,36827554548.09,1648073588.14,941442258.20,1373370031.10,1127593416.52,1789796738.69,1296042122.96,1041784982.82,1481283536.92,1086952691.47,1004279746.65,1110935161.69,1409877496.80,1053081144.68,1401903787.98,1353210357.97,1138747490.18,1064994403.76
