201601,361.53
201602,336.56
201603,351.93
201604,346.18
201605,357.41
201606,349.91
201607,360.93
201608,358.45
201609,344.27
201610,360.38
201611,351.03
201612,363.55
201701,361.97
201702,325.34
201703,358.07
201704,346.16
201705,360.12
201706,348.97
201707,361.97
201708,354.06
201709,345.02
201710,359.1
201711,346.68
201712,361.45
201801,352.73
201802,326.16
201803,363.46
201804,345.51
201805,357.05
201806,342.55
201807,359.82
201808,360.43
201809,343.83
201810,355.55
201811,347.42
201812,354.6
201901,358.3
201902,320.33
201903,358.43
201904,347.87
201905,357.89
201906,350.2
201907,360.6
201908,357.35
201909,343.6
201910,357.01
201911,345.26
201912,364.4
202001,360.47
202002,337.03
202003,361.25
202004,350.27
202005,360.74
202006,352.12
202007,353.57
202008,360.85
202009,347.36
202010,364.26
202011,343.96
202012,355.74
202101,360.3
202102,328.12
202103,353.39
202104,352.98
202105,355.07
202106,351.06
202107,356.34
202108,352.96
202109,343.07
202110,355.0
202111,349.14
202112,357.42
