201601,55.04
201602,53.32
201603,57.53
201604,55.49
201605,56.04
201606,54.53
201607,55.31
201608,55.0
201609,55.0
201610,56.14
201611,57.19
201612,55.32
201701,55.71
201702,52.06
201703,55.18
201704,54.12
201705,56.79
201706,54.38
201707,54.62
201708,54.41
201709,54.43
201710,56.05
201711,55.39
201712,55.54
201801,56.87
201802,50.69
201803,55.98
201804,54.59
201805,55.03
201806,54.67
201807,56.24
201808,57.08
201809,54.04
201810,58.65
201811,55.81
201812,56.9
201901,55.92
201902,51.25
201903,55.16
201904,56.79
201905,54.82
201906,53.37
201907,55.23
201908,55.64
201909,54.74
201910,55.36
201911,54.14
201912,55.48
202001,54.8
202002,52.88
202003,56.45
202004,55.13
202005,55.78
202006,54.77
202007,56.56
202008,55.59
202009,54.7
202010,55.2
202011,53.71
202012,56.16
202101,56.53
202102,50.02
202103,55.52
202104,55.09
202105,56.58
202106,54.71
202107,54.83
202108,55.06
202109,53.82
202110,56.16
202111,55.1
202112,54.16
