0123456789,2019,1,15,20273345.32,559139490.10,80288365.29,416889382.16
6051206979,2019,1,15,13863624.30,507922912.10,75418736.83,550206911.24
2449764139,2019,1,15,26352462.32,599585600.49,128173960.81,544460474.50
1030718999,2019,1,15,8936908.88,569804382.93,123162415.07,326044268.15
7430287259,2019,1,15,10783814.75,579201839.56,113229743.76,521371033.46
7430120299,2019,1,15,19146440.08,547026731.97,119752034.57,362523618.46
71530004X9,2019,1,15,13511158.31,563550490.33,97018218.13,474879807.56
1244832780,2019,1,15,26271331.13,591065723.56,108415740.61,539257704.23
7765904829,2019,1,15,14570168.53,599575022.69,92044943.16,330242896.48
7025003680,2019,1,15,7176830.88,513270165.84,118787220.75,512323972.68
42851028X0,2019,1,15,24902539.44,500838218.62,87056131.78,404649880.01
