0123456789,2018,12,6,20179542.11,544770625.22,99780850.10,508522261.46
6051206979,2018,12,6,6908821.13,590576899.72,127426293.56,573354914.58
2449764139,2018,12,6,25456105.38,569440117.73,107778613.99,460114138.43
1030718999,2018,12,6,7282487.23,579300049.60,87936997.54,392042742.68
7430287259,2018,12,6,23296199.85,554885788.81,109343662.00,554681441.92
7430120299,2018,12,6,11752716.65,551997792.47,113608658.65,331801966.10
71530004X9,2018,12,6,17981499.92,544857636.04,117092758.75,329569029.69
1244832780,2018,12,6,23960033.89,559804979.16,115981503.04,324925957.66
7765904829,2018,12,6,11507888.27,592912597.78,77408451.16,308499397.07
7025003680,2018,12,6,13281212.77,580661752.76,80414680.25,590942928.41
42851028X0,2018,12,6,14398756.20,537061802.63,86126726.23,580036223.64
