0123456789,2016,12,20,26987653.64,590279709.91,120780697.31,400254834.55
6051206979,2016,12,20,14176001.85,501048341.10,107172006.54,446784209.66
2449764139,2016,12,20,14921067.53,529362306.53,108268573.85,437879383.77
1030718999,2016,12,20,22688787.31,536247707.58,92826623.43,464245200.02
7430287259,2016,12,20,6921474.01,591270776.02,112593580.84,306481354.44
7430120299,2016,12,20,12507941.23,548719946.25,95888492.59,411311110.49
71530004X9,2016,12,20,25804748.92,538678980.02,98186955.28,518829320.51
1244832780,2016,12,20,10862340.33,575100158.58,98183576.77,331530973.51
7765904829,2016,12,20,9374565.33,588673743.57,102422151.04,329728994.79
7025003680,2016,12,20,13952698.31,560139039.69,89861768.92,455631909.14
42851028X0,2016,12,20,9774645.60,536245526.13,79954107.42,412502826.34
